Site	Lenght	L/min		Site	Lenght	L/min		Site	Ostron (L/min)	 Musslor (L/min)		Depth grid															
1	9.50	0.03315225		1	5.8	0.01302215		1	1.052112	0.112032		Average				9								9			
1	13.00	0.0362508		1	7	0.0174507		2	0.1905031	0		8.213114754			3	3	9	3	3					3	3		
1	5.50	0.02961105		1	3.5	0.00796095		3	0.9314545	0.443174		9		9		7	12		3	3				4.5	10	3	
1	19.00	0.0415626		1	5.5	0.0250425		4	10.535052	2.635216		9		23	20	15	20	10				3	8	10	10	3	
1	14.00	0.0371361		1	7	0.018716		5	0.211703	0.024779		3		23	23	23	20	15	10	10	3	5	8	8	3		
1	7.50	0.03138165		1	6	0.01049155		6	1.989834	0.497161		3	17.5	15	7.5		3	6	10	6		3	8	8	3		
1	14.50	0.03757875		1	5	0.01934865		7	1.0695855	0.098746		9	7	3				3	3				3	3	6	6	3
1	14.00	0.0371361		3	9	0.018716		8	0.0919337	0.022512		3													3		4,5
1	11.50	0.03492285		3	6.5	0.01555275		9	0.121542	0		3															
1	12.00	0.0353655		3	6	0.0161854		10	0.815526	0		3															
1	11.00	0.0344802		3	7.5	0.0149201		11	5.218569	0.350491		3															
1	16.00	0.0389067		3	7	0.0212466		12	1.570014	3.855507		9															
1	15.00	0.0380214		3	7	0.0199813		13	27.695826	6.390491		7															
1	14.00	0.0371361		3	5	0.018716		14	4.016852	2.31968		12															
1	8.00	0.0318243		3	7	0.0111242		15	0.030053	0		3															
1	17.00	0.039792		3	7.5	0.0225119		16	0	0.063212		3															
1	14.50	0.03757875		3	6.5	0.01934865		17	1.805667	0.936066		4.5															
1	21.00	0.0433332		3	6	0.0275731		18	12.894424	1.251813		10															
1	15.00	0.0380214		3	7	0.0199813		19	0.91489	0.581989		3															
1	16.00	0.0389067		3	6	0.0212466						23															
1	5.00	0.0291684		3	8	0.0073283			Ostron (L/min)	 Musslor (L/min)		20															
1	13.00	0.0362508		3	4	0.0174507		Total	71.155541	19.582869		15															
1	12.00	0.0353655		3	3	0.0161854		Mean	3.745028463	1.030677316		20															
1	4.50	0.02872575		3	1	0.00669565						10															
1	11.00	0.0344802		3	0.5	0.0149201		Mussla		Ostron		3															
1	7.00	0.030939		3	6	0.0098589		Intercept	0.0010018	Intercept	0.0247419	8															
1	6.00	0.0300537		3	8.5	0.0085936		Slope	0.0012653	Slope	0.0008853	10															
1	6.50	0.03049635		3	8	0.00922625		Transect area (m²)				10															
1	8.50	0.03226695		3	7	0.01175685		170040				3															
1	8.50	0.03226695		3	6	0.01175685						23															
2	7.50	0.03138165		3	5	0.01049155						23															
2	9.00	0.0327096		3	7	0.0123895						23															
2	8.50	0.03226695		3	4	0.01175685						20															
2	12.50	0.03580815		3	4.5	0.01681805						15															
2	5.00	0.0291684		3	4.5	0.0073283						10															
2	5.00	0.0291684		3	4.5	0.0073283						10															
3	12.00	0.0353655		3	6	0.0161854						3															
3	13.00	0.0362508		4	8	0.0174507						5															
3	7.00	0.030939		4	6.5	0.0098589						8															
3	22.00	0.0442185		4	8.5	0.0288384						8															
3	10.00	0.0335949		4	7	0.0136548						3															
3	13.00	0.0362508		4	6	0.0174507						17.5															
3	4.00	0.0282831		4	6.5	0.006063						15															
3	18.00	0.0406773		4	7.5	0.0237772						7.5															
3	19.00	0.0415626		4	5.5	0.0250425						3															
3	20.00	0.0424479		4	6.5	0.0263078						6															
3	12.00	0.0353655		4	8	0.0161854						10															
3	14.00	0.0371361		4	2.5	0.018716						6															
3	5.00	0.0291684		4	3	0.0073283						3															
3	10.00	0.0335949		4	2	0.0136548						8															
3	7.50	0.03138165		4	1	0.01049155						8															
3	24.50	0.04643175		4	4.5	0.03200165						3															
3	13.00	0.0362508		4	3.5	0.0174507						7															
3	13.50	0.03669345		4	6	0.01808335						3															
3	14.00	0.0371361		4	6.5	0.018716						3															
3	12.50	0.03580815		4	6	0.01681805						3															
3	13.00	0.0362508		4	4.5	0.0174507						3															
3	7.00	0.030939		4	6.5	0.0098589						3															
3	11.50	0.03492285		4	5.5	0.01555275						6															
3	10.50	0.03403755		4	4.5	0.01428745						6															
3	5.00	0.0291684		4	7	0.0073283						3															
3	14.50	0.03757875		4	7	0.01934865						3															
4	8.00	0.0318243		4	7	0.0111242						4.5															
4	15.50	0.03846405		4	2	0.02061395																					
4	12.00	0.0353655		4	4.5	0.0161854																					
4	14.50	0.03757875		4	3	0.01934865																					
4	9.00	0.0327096		4	4	0.0123895																					
4	7.00	0.030939		4	6	0.0098589																					
4	14.00	0.0371361		4	5.5	0.018716																					
4	11.50	0.03492285		4	5	0.01555275																					
4	10.00	0.0335949		4	5	0.0136548																					
4	9.50	0.03315225		4	3	0.01302215																					
4	17.00	0.039792		4	4	0.0225119																					
4	7.50	0.03138165		4	5.5	0.01049155																					
4	10.00	0.0335949		4	4.5	0.0136548																					
4	12.00	0.0353655		4	6	0.0161854																					
4	13.50	0.03669345		4	4	0.01808335																					
4	11.50	0.03492285		4	4	0.01555275																					
4	11.00	0.0344802		4	6	0.0149201																					
4	8.50	0.03226695		4	3.5	0.01175685																					
4	15.00	0.0380214		4	4	0.0199813																					
4	11.50	0.03492285		4	2	0.01555275																					
4	11.50	0.03492285		4	5	0.01555275																					
4	14.50	0.03757875		4	4.5	0.01934865																					
4	13.00	0.0362508		4	3	0.0174507																					
4	11.50	0.03492285		4	6	0.01555275																					
4	13.00	0.0362508		4	5.5	0.0174507																					
4	12.00	0.0353655		4	5	0.0161854																					
4	9.50	0.03315225		4	9	0.01302215																					
4	13.50	0.03669345		4	6	0.01808335																					
4	8.50	0.03226695		4	6	0.01175685																					
4	13.50	0.03669345		4	3.5	0.01808335																					
4	6.50	0.03049635		4	5.5	0.00922625																					
4	8.50	0.03226695		4	6.5	0.01175685																					
4	15.00	0.0380214		4	6	0.0199813																					
4	13.00	0.0362508		4	8	0.0174507																					
4	10.00	0.0335949		4	7	0.0136548																					
4	10.00	0.0335949		4	4	0.0136548																					
4	6.50	0.03049635		4	6	0.00922625																					
4	10.50	0.03403755		4	7	0.01428745																					
4	11.00	0.0344802		4	6.5	0.0149201																					
4	12.00	0.0353655		4	3.5	0.0161854																					
4	8.00	0.0318243		4	7.5	0.0111242																					
4	5.00	0.0291684		4	7.5	0.0073283																					
4	14.00	0.0371361		4	4.5	0.018716																					
4	14.50	0.03757875		4	6	0.01934865																					
4	14.50	0.03757875		4	5	0.01934865																					
4	10.00	0.0335949		4	7.5	0.0136548																					
4	13.00	0.0362508		4	7.5	0.0174507																					
4	13.50	0.03669345		4	6	0.01808335																					
4	10.00	0.0335949		4	6	0.0136548																					
4	12.00	0.0353655		4	6	0.0161854																					
4	14.50	0.03757875		4	5.5	0.01934865																					
4	7.00	0.030939		4	8	0.0098589																					
4	9.00	0.0327096		4	8	0.0123895																					
4	9.00	0.0327096		4	7	0.0123895																					
4	10.00	0.0335949		4	6.5	0.0136548																					
4	11.00	0.0344802		4	7.5	0.0149201																					
4	10.50	0.03403755		4	6.5	0.01428745																					
4	11.00	0.0344802		4	6	0.0149201																					
4	6.50	0.03049635		4	6	0.00922625																					
4	9.50	0.03315225		4	5.5	0.01302215																					
4	10.50	0.03403755		4	9	0.01428745																					
4	10.50	0.03403755		4	7	0.01428745																					
