Individual	Time	Chlorophyll	logChl	Weight
1	0	205.44	2.312685006	1.1785
1	10	174.56	2.241944733	1.1785
1	20	158.45	2.199892244	1.1785
1	30	152.93	2.184492689	1.1785
1	40	151.11	2.179293206	1.1785
1	50	152.93	2.184492689	1.1785
1	60	135.45	2.131779009	1.1785
2	0	234.9	2.370883017	1.0523
2	10	154.78	2.189714842	1.0523
2	20	128.07	2.10744741	1.0523
2	30	99.03	1.995766779	1.0523
2	40	62.2	1.793790385	1.0523
2	50	42.84	1.631849462	1.0523
2	60	25.34	1.403806611	1.0523
3	0	204.97	2.311690301	7.7173
3	10	156.6	2.194791758	7.7173
3	20	77.39	1.888684847	7.7173
3	30	40.99	1.612677918	7.7173
4	0	210.97	2.324220703	4.8172
4	10	163.98	2.214790882	4.8172
4	20	163.98	2.214790882	4.8172
4	30	146.94	2.167140036	4.8172
4	40	132.65	2.122707254	4.8172
4	50	128.99	2.110556043	4.8172
4	60	121.43	2.084325995	4.8172
5	0	223.44	2.349160923	8.0215
5	10	134.98	2.130269424	8.0215
5	20	65.87	1.818687663	8.0215
5	30	18.43	1.265525335	8.0215
5	40	7.37	0.8674674879	8.0215
6	0	192.1	2.283527365	11.8825
6	10	160.77	2.206205012	11.8825
6	20	152.93	2.184492689	11.8825
6	30	140.49	2.147645413	11.8825
6	40	136.81	2.136117843	11.8825
6	50	127.59	2.105816637	11.8825
6	60	120.23	2.080012847	11.8825
7	0	53.52	1.728516105	2.4714
7	10	36.39	1.560982056	2.4714
7	20	17.34	1.239049093	2.4714
7	30	9.7	0.9867717343	2.4714
7	40	6.45	0.8095597146	2.4714
7	50	4.56	0.6589648427	2.4714
7	60	1.03	0.01283722471	2.4714
8	0	79.2	1.898725182	2.7029
8	10	48.16	1.682686478	2.7029
8	20	37.47	1.573683693	2.7029
8	30	25.69	1.409764104	2.7029
8	40	16.05	1.205475037	2.7029
8	50	6.45	0.8095597146	2.7029
8	60	5.05	0.7032913781	2.7029
